NAME,K200101_001E,K200201_003E,K200201_002E,K200201_005E,K202101_002E,K202101_006E,K201701_002E,K201901_001E,K201501_004E,K201501_007E,K202801_002E,K202801_004E,state,congressional district
"Congressional District 37 (118th Congress), Texas",765870,42203,449103,78703,25137,612336,70445,380978,61265,224731,376308,360406,48,37
"Congressional District 38 (118th Congress), Texas",796788,90002,409984,78067,29417,561708,66271,304561,93219,166548,299295,289457,48,38
"Congressional District 1 (118th Congress), Utah",855830,10638,711241,19482,33658,589916,71951,300230,115193,129568,294280,280717,49,01
"Congressional District 2 (118th Congress), Utah",857385,8873,640212,23105,32495,605217,93135,305021,138715,114048,298877,286156,49,02
"Congressional District 3 (118th Congress), Utah",818995,6190,654267,21742,23312,585457,77614,284449,89157,142806,279255,262436,49,03
"Congressional District 4 (118th Congress), Utah",885524,12679,680027,20400,20188,586960,61549,277891,118895,127143,274468,265009,49,04
"Congressional District (at Large) (118th Congress), Vermont",647464,7843,582287,11202,33725,498560,60413,279612,127628,118611,268232,254650,50,00
"Congressional District 1 (118th Congress), Virginia",814127,106320,574751,49176,58736,567798,55187,319151,122938,161325,309413,297698,51,01
"Congressional District 2 (118th Congress), Virginia",789864,180828,473219,44835,78960,506190,68714,308690,138280,128447,299254,286332,51,02
"Congressional District 3 (118th Congress), Virginia",773212,327469,310566,21277,78805,481986,117460,315587,148319,98430,300650,284402,51,03
"Congressional District 4 (118th Congress), Virginia",796240,327876,344516,17516,48149,583259,100822,325433,154639,119399,312889,294528,51,04
"Congressional District 5 (118th Congress), Virginia",798327,155077,559344,16314,48448,596695,104957,320545,166510,110434,295504,276668,51,05
"Congressional District 6 (118th Congress), Virginia",794509,62331,624391,13033,46205,586348,95120,318935,193746,96120,299308,279119,51,06
"Congressional District 7 (118th Congress), Virginia",814164,167821,418840,37503,72236,525961,50361,282540,136524,122466,275316,266703,51,07
"Congressional District 8 (118th Congress), Virginia",769124,94332,400109,96175,43088,555299,55874,330710,62854,175339,324351,312706,51,08
"Congressional District 9 (118th Congress), Virginia",776692,40539,678025,10082,46042,590602,129923,325941,191042,79408,300888,275021,51,09
"Congressional District 10 (118th Congress), Virginia",805856,68910,447749,128393,46191,552117,44196,270438,81724,179838,266769,257731,51,10
"Congressional District 11 (118th Congress), Virginia",783583,72630,383222,169468,45762,555326,41780,284700,55502,175554,282524,277621,51,11
"Congressional District 1 (118th Congress), Washington",786950,19541,462100,179647,33631,579714,57444,311082,83287,173211,307131,299549,53,01
"Congressional District 2 (118th Congress), Washington",781299,23082,556680,60168,47501,577389,85174,318476,122105,137801,311237,298487,53,02
"Congressional District 3 (118th Congress), Washington",792906,13247,615412,29128,53334,561197,69117,309038,140775,105557,298867,287530,53,03
"Congressional District 4 (118th Congress), Washington",786057,10260,432217,14591,37250,535172,112771,280322,143542,76398,269235,255418,53,04
"Congressional District 5 (118th Congress), Washington",788598,14270,640350,18470,55922,564162,104164,312447,144040,101675,299585,278919,53,05
"Congressional District 6 (118th Congress), Washington",785859,24055,586815,36321,73037,552376,80224,323554,133367,125125,314773,301113,53,06
"Congressional District 10 (118th Congress), Washington",773712,57803,471644,59734,71718,500310,80170,297814,136855,113160,291847,281965,53,10
"Congressional District 7 (118th Congress), Washington",773546,38980,492039,112673,20438,637406,65822,367676,53515,219834,362464,350747,53,07
"Congressional District 8 (118th Congress), Washington",778099,16079,519895,90359,41929,548357,49071,282659,116935,139490,276791,267643,53,08
